Column,Type,Unique_Values,Null_Count,Total_Rows,Partition_Candidate
Date,DATE,2922,0,2500000,YES
Patient_Name,VARCHAR,48,0,2500000,YES
Age,BIGINT,101,0,2500000,YES
Gender,VARCHAR,3,0,2500000,YES
City,VARCHAR,5,0,2500000,YES
State,VARCHAR,5,0,2500000,YES
Symptom_6,VARCHAR,1619463,0,2500000,NO
Symptom_7,VARCHAR,1619612,0,2500000,NO
Symptom_8,VARCHAR,1618397,0,2500000,NO
Symptom_9,VARCHAR,1618597,0,2500000,NO
Symptom_10,VARCHAR,1620165,0,2500000,NO
Symptom_11,VARCHAR,1619681,0,2500000,NO
Symptom_12,VARCHAR,1620091,0,2500000,NO
Symptom_13,VARCHAR,1620702,0,2500000,NO
Symptom_14,VARCHAR,1618555,0,2500000,NO
Symptom_15,VARCHAR,1617941,0,2500000,NO
Symptom_16,VARCHAR,1619164,0,2500000,NO
Symptom_17,VARCHAR,1619258,0,2500000,NO
Symptom_18,VARCHAR,1620109,0,2500000,NO
Symptom_19,VARCHAR,1619732,0,2500000,NO
Symptom_20,VARCHAR,1619468,0,2500000,NO
Symptom_21,VARCHAR,1621585,0,2500000,NO
Symptom_22,VARCHAR,1619067,0,2500000,NO
Symptom_23,VARCHAR,1620043,0,2500000,NO
Symptom_24,VARCHAR,1620237,0,2500000,NO
Symptom_25,VARCHAR,1619201,0,2500000,NO
Symptom_26,VARCHAR,1619638,0,2500000,NO
Symptom_27,VARCHAR,1619866,0,2500000,NO
Symptom_28,VARCHAR,1620494,0,2500000,NO
Symptom_29,VARCHAR,1619332,0,2500000,NO
Treatment_30,VARCHAR,2233535,0,2500000,NO
Treatment_31,VARCHAR,2233317,0,2500000,NO
Treatment_32,VARCHAR,2234607,0,2500000,NO
Treatment_33,VARCHAR,2234290,0,2500000,NO
Treatment_34,VARCHAR,2233936,0,2500000,NO
Treatment_35,VARCHAR,2234425,0,2500000,NO
Treatment_36,VARCHAR,2234123,0,2500000,NO
Treatment_37,VARCHAR,2233368,0,2500000,NO
Treatment_38,VARCHAR,2233328,0,2500000,NO
Treatment_39,VARCHAR,2232824,0,2500000,NO
Treatment_40,VARCHAR,2233350,0,2500000,NO
Treatment_41,VARCHAR,2233511,0,2500000,NO
Treatment_42,VARCHAR,2233881,0,2500000,NO
Treatment_43,VARCHAR,2234352,0,2500000,NO
Treatment_44,VARCHAR,2232999,0,2500000,NO
Treatment_45,VARCHAR,2233255,0,2500000,NO
Treatment_46,VARCHAR,2233142,0,2500000,NO
Treatment_47,VARCHAR,2234353,0,2500000,NO
Treatment_48,VARCHAR,2232917,0,2500000,NO
Treatment_49,VARCHAR,2233062,0,2500000,NO
Treatment_50,VARCHAR,2233494,0,2500000,NO
Treatment_51,VARCHAR,2234095,0,2500000,NO
Treatment_52,VARCHAR,2233507,0,2500000,NO
Treatment_53,VARCHAR,2233542,0,2500000,NO
Treatment_54,VARCHAR,2233486,0,2500000,NO
Treatment_55,VARCHAR,2234369,0,2500000,NO
Treatment_56,VARCHAR,2234948,0,2500000,NO
Treatment_57,VARCHAR,2233367,0,2500000,NO
Treatment_58,VARCHAR,2234451,0,2500000,NO
Treatment_59,VARCHAR,2233302,0,2500000,NO
Test_Report_60,VARCHAR,2499466,0,2500000,NO
Test_Report_61,VARCHAR,2499460,0,2500000,NO
Test_Report_62,VARCHAR,2499482,0,2500000,NO
Test_Report_63,VARCHAR,2499441,0,2500000,NO
Test_Report_64,VARCHAR,2499447,0,2500000,NO
Test_Report_65,VARCHAR,2499464,0,2500000,NO
Test_Report_66,VARCHAR,2499470,0,2500000,NO
Test_Report_67,VARCHAR,2499416,0,2500000,NO
Test_Report_68,VARCHAR,2499439,0,2500000,NO
Test_Report_69,VARCHAR,2499429,0,2500000,NO
Test_Report_70,VARCHAR,2499442,0,2500000,NO
Test_Report_71,VARCHAR,2499429,0,2500000,NO
Test_Report_72,VARCHAR,2499444,0,2500000,NO
Test_Report_73,VARCHAR,2499443,0,2500000,NO
Test_Report_74,VARCHAR,2499435,0,2500000,NO
Test_Report_75,VARCHAR,2499459,0,2500000,NO
Test_Report_76,VARCHAR,2499438,0,2500000,NO
Test_Report_77,VARCHAR,2499469,0,2500000,NO
Test_Report_78,VARCHAR,2499439,0,2500000,NO
Test_Report_79,VARCHAR,2499456,0,2500000,NO
Misc_80,VARCHAR,10,0,2500000,YES
Misc_81,VARCHAR,10,0,2500000,YES
Misc_82,VARCHAR,10,0,2500000,YES
Misc_83,VARCHAR,10,0,2500000,YES
Misc_84,VARCHAR,10,0,2500000,YES
Misc_85,VARCHAR,10,0,2500000,YES
Misc_86,VARCHAR,10,0,2500000,YES
Misc_87,VARCHAR,10,0,2500000,YES
Misc_88,VARCHAR,10,0,2500000,YES
Misc_89,VARCHAR,10,0,2500000,YES
Misc_90,VARCHAR,10,0,2500000,YES
Misc_91,VARCHAR,10,0,2500000,YES
Misc_92,VARCHAR,10,0,2500000,YES
Misc_93,VARCHAR,10,0,2500000,YES
Misc_94,VARCHAR,10,0,2500000,YES
Misc_95,VARCHAR,10,0,2500000,YES
Misc_96,VARCHAR,10,0,2500000,YES
Misc_97,VARCHAR,10,0,2500000,YES
Misc_98,VARCHAR,10,0,2500000,YES
Misc_99,VARCHAR,10,0,2500000,YES
